Sentence,Class
After receiving information on the problem this company will then send one of its technicians to repair the stove then the after sales form will be signed by both the customer and MILLE Services,Relevant
Otherwise if physical intervention is not necessary which is mostly the case then Sûti will solve the problem remotely through the internet thanks to the app it recently developed,Relevant
So first they will use this app to detect the problem on the stove then they will change the engine s parameters through the remote control system and will fill in the sheet with every problem encountered while doing so,Relevant
When they are done they check if the stove is operational,Relevant
If so the after sales document is signed and the process is over,Relevant
If not then the stove will need a supplementary intervention physically thus Sûti contacts MILLE Services and the service is handed to them as stated previously,Relevant
This process begins with the registration of the quotation,Relevant
When the welder load is planned he will assign a design engineer to the project,Relevant
First of all the planner will plan the welder load,Relevant
After that several things will be made simultaneously,Relevant
On the one hand the quality manager will design the quality plan,Relevant
On the other hand the design engineer will first analyze the file in order to be able to draw the nomenclature of the project,Relevant
After that the welding engineer will give the soudage instructions,Relevant
Then the process will continue with the calculation engineer who will make the calculation,Relevant
When these two simultaneous parts of the process will be covered the pawn can move on to the resolution of questions task executed by the design engineer,Relevant
When all the questions will be covered it is the task of the project manager to validate the project,Relevant
Now it will be up to the client to look at the drawing to approbate it in order to launch the creation of the project,Relevant
If the customer has other questions he will send an email to the company to disapprove the drawing,Relevant
The design engineer will be obliged to do the task of questions resolution again,Relevant
If the customer approves the drawing the company will receive an email from him,Relevant
After having received the customer approbation the company will purchase its raw materials,Relevant
The project will then be sent to the workshop,Relevant
Two sub processes will then be required simultaneously,Relevant
The production traceability and the inspection,Relevant
After that the calculation note will be drafted by the calculation engineer and the welding book by the welding engineer,Relevant
The plan as built will then be drawn,Relevant
The process ends with the expedition,Relevant
It is important to know that Into this process each thing that will be associated with creation or assignment will be included in the ERP in the file created in the quotation registration,Irrelevant
The process begins when the purchasing department receives a purchase need,Relevant
They will first analyze the request,Relevant
Then they will check if an authorized provider exists,Relevant
In fact they must have to work with suppliers accepted by Ortmans in order to be certain of the quality of the service,Irrelevant
If a valid supplier exists for the requirement then we send him a request for quotation If this is not the case the quality assurance manager will seek out a new supplier and evaluate it,Relevant
Once this is done we can send the request for a quote,Relevant
When the purchasing department receives the quote it is analyzed and then an order is sent to the supplier,Relevant
Once the order is received by the storekeeper he will check the quantity received via the shipping document,Relevant
If a control card exists then a quality controller must inspect the delivery qualitatively,Relevant
Then the conformity is checked via the ERP by the storekeeper,Relevant
If the order is compliant then it synchronizes the receipt of the order in the ERP and the purchase is complete,Relevant
If the order is non compliant then the quality assurance manager will initiate a process to manage non compliance,Relevant
Once this is completed the storekeeper can synchronize the receipt of the order in the ERP and the purchase will be completed,Relevant
At another time the billing department will receive the invoice of the order which will start their process,Relevant
This will be checked in the ERP,Relevant
Once the service is notified that the receipt of the order has been synchronized in the ERP it can proceed to the payment and the payment will be completed,Relevant
The improvement action process starts with an improvement demand based on different sources internal or external audit report management review customer complaint non compliance suggestion etc,Relevant
The request is then registered in the Excel table by the Quality Assurance Manager QAM,Relevant
This excel file will be used all along the process,Irrelevant
It is important to detect the issue which means that an analysis of the problem in order to know the ins and outs of each approach will be conducted by the QAM,Relevant
